ticker,end_date,metric,tag_a,val_a,tag_b,val_b,diff,pct_diff,filed_a,filed_b
BWA,2022-12-31,net_income,NetIncomeLoss,944000000,ProfitLoss,1026000000,-82000000,7.992202729044834,2025-02-06,2025-02-06
BWA,2023-12-31,net_income,NetIncomeLoss,625000000,ProfitLoss,695000000,-70000000,10.071942446043165,2026-02-11,2026-02-11
BWA,2024-12-31,net_income,NetIncomeLoss,338000000,ProfitLoss,399000000,-61000000,15.288220551378446,2026-02-11,2026-02-11
BWA,2025-12-31,net_income,NetIncomeLoss,277000000,ProfitLoss,335000000,-58000000,17.313432835820898,2026-02-11,2026-02-11
BWXT,2013-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,137886000,ProvidedByUsedInOperatingActivitiesContinuingOperations,137886000,0,0.0,2015-02-26,2016-02-24
BWXT,2014-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,74925000,ProvidedByUsedInOperatingActivitiesContinuingOperations,80674000,-5749000,7.126211666707985,2015-02-26,2017-02-27
BWXT,2015-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,335157000,ProvidedByUsedInOperatingActivitiesContinuingOperations,335157000,0,0.0,2018-02-27,2017-02-27
BWXT,2016-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,239907000,ProvidedByUsedInOperatingActivitiesContinuingOperations,239850000,57000,0.02375920669259338,2019-02-25,2017-02-27
BWXT,2009-12-31,net_income,NetIncomeLoss,147764000,ProfitLoss,147920000,-156000,0.10546241211465658,2012-03-29,2012-03-29
BWXT,2010-12-31,net_income,NetIncomeLoss,139939000,ProfitLoss,140203000,-264000,0.18829839589737737,2013-02-28,2013-02-28
BWXT,2011-12-31,net_income,NetIncomeLoss,78319000,ProfitLoss,70618000,7701000,9.832863034512698,2014-02-26,2014-02-26
BWXT,2012-12-31,net_income,NetIncomeLoss,227695000,ProfitLoss,217557000,10138000,4.452447352818463,2015-02-26,2015-02-26
BWXT,2013-12-31,net_income,NetIncomeLoss,346078000,ProfitLoss,332590000,13488000,3.8973872941937944,2016-02-24,2016-02-24
BWXT,2014-12-31,net_income,NetIncomeLoss,29388000,ProfitLoss,21457000,7931000,26.98720566217504,2017-02-27,2017-02-27
BWXT,2015-12-31,net_income,NetIncomeLoss,131465000,ProfitLoss,131446000,19000,0.014452515878750996,2018-02-27,2018-02-27
BWXT,2016-12-31,net_income,NetIncomeLoss,183057000,ProfitLoss,183612000,-555000,0.3022678256323116,2019-02-25,2019-02-25
BWXT,2017-12-31,net_income,NetIncomeLoss,147844000,ProfitLoss,148365000,-521000,0.35116098810366325,2020-02-24,2020-02-24
BWXT,2018-12-31,net_income,NetIncomeLoss,226958000,ProfitLoss,227305000,-347000,0.1526583225182024,2021-02-22,2021-02-22
BWXT,2019-12-31,net_income,NetIncomeLoss,244115000,ProfitLoss,244677000,-562000,0.229690571651606,2022-02-22,2022-02-22
BWXT,2020-12-31,net_income,NetIncomeLoss,278670000,ProfitLoss,279196000,-526000,0.18839811458616884,2023-02-23,2023-02-23
BWXT,2021-12-31,net_income,NetIncomeLoss,305871000,ProfitLoss,306288000,-417000,0.1361463720419997,2024-02-27,2024-02-27
BWXT,2022-12-31,net_income,NetIncomeLoss,238191000,ProfitLoss,238620000,-429000,0.1797837566004526,2025-02-24,2025-02-24
BWXT,2023-12-31,net_income,NetIncomeLoss,245849000,ProfitLoss,246321000,-472000,0.1916198781265097,2026-02-23,2026-02-23
BWXT,2024-12-31,net_income,NetIncomeLoss,281941000,ProfitLoss,282298000,-357000,0.12646210741840183,2026-02-23,2026-02-23
BWXT,2025-12-31,net_income,NetIncomeLoss,328945000,ProfitLoss,329861000,-916000,0.2776927251175495,2026-02-23,2026-02-23
CACI,2012-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,271223000,ProvidedByUsedInOperatingActivitiesContinuingOperations,271223000,0,0.0,2013-08-27,2014-08-28
CACI,2013-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,249331000,ProvidedByUsedInOperatingActivitiesContinuingOperations,249331000,0,0.0,2013-08-27,2015-08-21
