ticker,company_name,quarter_end,filing_date,fiscal_year,fiscal_quarter,accession_number,form,total_assets,assets_current,cash,accounts_receivable_net,inventory_net,prepaid_expense_current,ppe_net,other_assets_noncurrent,liabilities_current,stockholders_equity,net_income,goodwill,intangibles_net,total_liabilities,assets_noncurrent,liabilities_noncurrent,marketable_securities
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2024-03-31,2024-05-07,2024,Q1,0001069258-24-000036,10-Q,1914600000.0,871700000.0,338900000.0,116900000.0,,,,119600000.0,288200000.0,1306100000.0,1300000.0,568900000.0,60200000.0,586000000.0,,,
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2024-06-30,2024-08-07,2024,Q2,0001069258-24-000051,10-Q,1914200000.0,851200000.0,308200000.0,131700000.0,,,,123000000.0,272300000.0,1306100000.0,7900000.0,568900000.0,58100000.0,584900000.0,,,
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2024-09-29,2024-11-07,2024,Q3,0001069258-24-000061,10-Q,1912400000.0,838400000.0,301500000.0,112700000.0,,,,128800000.0,260500000.0,1329300000.0,3200000.0,568900000.0,55900000.0,569500000.0,,,
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2025-03-30,2025-05-07,2025,Q1,0001069258-25-000028,10-Q,2004900000.0,864400000.0,263700000.0,118200000.0,,,,138700000.0,304900000.0,1387600000.0,4500000.0,597400000.0,61600000.0,617300000.0,,,
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2025-06-29,2025-08-07,2025,Q2,0001069258-25-000048,10-Q,2585700000.0,1428900000.0,783600000.0,142200000.0,,,,146700000.0,322400000.0,1387600000.0,2900000.0,598800000.0,58900000.0,625700000.0,,,
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2025-09-28,2025-11-04,2025,Q3,0001069258-25-000058,10-Q,2423300000.0,1237000000.0,565900000.0,136300000.0,,,,149600000.0,287400000.0,1960000000.0,8700000.0,595000000.0,57200000.0,441800000.0,,,
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2023-06-25,2023-11-02,2023,Q2,0001069258-23-000062,10-Q,,,,,,,,,,945600000.0,,,,,,,
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2012-06-24,2012-12-07,2012,Q2,0001069258-12-000039,10-Q/A,,,,,,,,,,,-17200000.0,,,,,,
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2015-03-29,2015-05-14,2015,Q1,0001069258-15-000018,10-Q/A,,,,,,,,,,,-16300000.0,,,,,,
LDOS,"Leidos Holdings, Inc.",2010-07-31,2010-09-03,2011,Q2,0001193125-10-204065,10-Q,5174000000.0,2956000000.0,604000000.0,,,,382000000.0,71000000.0,1619000000.0,2280000000.0,189000000.0,1548000000.0,130000000.0,,,,
