ticker,company_name,year_end,filing_date,fiscal_year,accession_number,net_income,total_assets,total_liabilities,log_total_assets,leverage,roa,asset_growth,return_next_year
BAH,Booz Allen Hamilton Holding Corp,2017-03-31,2017-05-22,2017,0001443646-17-000050,252490000,3373105000,2799514000.0,21.939099522099667,0.82995163210158,0.07485388091980534,0.12056923012014932,0.09656618251253923
BAH,Booz Allen Hamilton Holding Corp,2018-03-31,2018-05-29,2018,0001443646-18-000100,305111000,3603366000,3048738000.0,22.00513424556825,0.8460805813231296,0.08467388547263864,0.0682638103468466,0.3532439776458731
BAH,Booz Allen Hamilton Holding Corp,2019-03-31,2019-05-28,2019,0001443646-19-000093,418529000,3831841000,3156475000.0,22.06661120350107,0.8237489499172852,0.1092239996388159,0.06340599317415994,0.2543696468315478
BAH,Booz Allen Hamilton Holding Corp,2020-03-31,2020-05-26,2020,0001443646-20-000086,482603000,4793966000,3937610000.0,22.290623880734874,0.8213679446203832,0.10066884078860801,0.25108687964871196,0.09135437085112567
BAH,Booz Allen Hamilton Holding Corp,2021-03-31,2021-05-21,2021,0001443646-21-000079,608958000,5499601000,4428425000.0,22.42794138109874,0.8052265973476985,0.1107276691527258,0.14719232468482255,-0.037242343285063574
BAH,Booz Allen Hamilton Holding Corp,2022-03-31,2022-05-20,2022,0001443646-22-000058,466740000,6025575000,4978854000.0,22.51927874745408,0.8262869518676641,0.07745982748534372,0.09563857450749609,0.1577572055233094
BAH,Booz Allen Hamilton Holding Corp,2023-03-31,2023-05-26,2023,0001443646-23-000089,271791000,6550652000,5558650000.0,22.60283042362433,0.8485643871785588,0.041490679095760236,0.08714139314505255,0.4970275833671664
BAH,Booz Allen Hamilton Holding Corp,2024-03-31,2024-05-24,2024,0001443646-24-000075,605706000,6563688000,5517126000.0,22.604818477051886,0.8405527502221312,0.09228135158161083,0.0019900309160065287,-0.34581905191198925
BAH,Booz Allen Hamilton Holding Corp,2025-03-31,2025-05-23,2025,0001443646-25-000076,935000000,7312000000,6309000000.0,22.71278267109826,0.862828227571116,0.12787199124726478,0.11400785655869078,
CACI,CACI INTERNATIONAL INC /DE/,2012-06-30,2012-08-28,2012,0001193125-12-371503,167454000,2392876000,1228431000.0,21.595761826728136,0.5133701035908255,0.06998022463345363,0.03135383303787588,0.2586323693203474
CACI,CACI INTERNATIONAL INC /DE/,2013-06-30,2013-08-27,2013,0001193125-13-348088,151689000,2501265000,1293693000.0,21.640062440845735,0.517215488962585,0.06064491367368112,0.04529653855862151,0.06000092137451564
