ticker,company_name,quarter_end,filing_date,fiscal_year,fiscal_quarter,accession_number,net_income,total_assets,total_liabilities,log_total_assets,leverage,roa,asset_growth,return_next_q
BAH,Booz Allen Hamilton Holding Corp,2024-12-31,2025-01-31,2025,Q3,0001443646-25-000012,186950000.0,6820989000.0,5611072000.0,22.64327031295093,0.8226185381621346,0.02740804889144375,-0.008342814740809383,-0.16512804979280993
BAH,Booz Allen Hamilton Holding Corp,2025-06-30,2025-07-25,2026,Q1,0001443646-25-000137,271000000.0,7170000000.0,6105000000.0,22.69317149155794,0.8514644351464435,0.03779637377963738,0.05116721343488459,-0.0730829383808597
BAH,Booz Allen Hamilton Holding Corp,2025-09-30,2025-10-24,2026,Q2,0001628280-25-046176,175000000.0,7153000000.0,6157000000.0,22.690797686072656,0.8607577240318748,0.024465259331748916,-0.002370990237099024,
CACI,CACI INTERNATIONAL INC /DE/,2010-09-30,2010-11-04,2011,Q1,0001193125-10-248022,28655000.0,2119604000.0,929537000.0,21.47449511572962,0.4385427655354491,0.01351903468761146,,0.011696010191894174
CACI,CACI INTERNATIONAL INC /DE/,2010-12-31,2011-02-04,2011,Q2,0001193125-11-024449,33235000.0,2202330000.0,969274000.0,21.512781727778666,0.44011297126225407,0.015090835615007741,0.03902898843368856,0.05475196846336147
CACI,CACI INTERNATIONAL INC /DE/,2011-03-31,2011-05-06,2011,Q3,0001193125-11-130745,36427000.0,2270413000.0,1009714000.0,21.543227590216944,0.44472701662649045,0.016044217505801806,0.030914077363519546,0.061693542540850035
CACI,CACI INTERNATIONAL INC /DE/,2011-09-30,2011-11-07,2012,Q1,0001193125-11-299756,42140000.0,2303424000.0,1162311000.0,21.557662548524846,0.504601410769359,0.018294504181600956,0.014539645430148612,0.019855775023015124
CACI,CACI INTERNATIONAL INC /DE/,2011-12-31,2012-02-06,2012,Q2,0001193125-12-041051,41061000.0,2413137000.0,1226672000.0,21.604193397775383,0.5083308573031701,0.01701561080038141,0.04763039718262899,0.011899898633978409
CACI,CACI INTERNATIONAL INC /DE/,2012-03-31,2012-05-04,2012,Q3,0001193125-12-211618,40856000.0,2469092000.0,1230430000.0,21.627116308664654,0.49833299042725016,0.01654697354331066,0.02318765988006483,0.1435685602061652
CACI,CACI INTERNATIONAL INC /DE/,2012-09-30,2012-11-02,2013,Q1,0001193125-12-448984,35708000.0,2435943000.0,1344224000.0,21.61359978750552,0.5518290042090476,0.014658799487508534,-0.013425583169845432,0.05002859288186046
CACI,CACI INTERNATIONAL INC /DE/,2012-12-31,2013-02-01,2013,Q2,0001193125-13-034244,39676000.0,2499566000.0,1371155000.0,21.639382953750342,0.5485572295350473,0.015873155579808656,0.02611842723741894,0.0439651436048637
CACI,CACI INTERNATIONAL INC /DE/,2013-03-31,2013-05-06,2013,Q3,0001193125-13-201455,38367000.0,2517222000.0,1355112000.0,21.646421749448557,0.5383363088356927,0.015241802272505166,0.007063626245516222,0.02298213388464002
CACI,CACI INTERNATIONAL INC /DE/,2013-09-30,2013-11-01,2014,Q1,0001193125-13-422947,32992000.0,2550249000.0,1304468000.0,21.659456838408406,0.5115061313620748,0.012936775977561406,0.013120416077723776,0.026917399940125063
CACI,CACI INTERNATIONAL INC /DE/,2013-12-31,2014-02-06,2014,Q2,0001193125-14-038655,34962000.0,3519359000.0,2233193000.0,21.981544707701058,0.634545381701611,0.009934195403197003,0.38000603078366074,-0.029564430271406518
CACI,CACI INTERNATIONAL INC /DE/,2014-03-31,2014-05-05,2014,Q3,0001193125-14-182556,30828000.0,3390707000.0,2071457000.0,21.94430429116656,0.6109218519913399,0.009091909150510499,-0.03655552047972372,-0.03682622733524125
CACI,CACI INTERNATIONAL INC /DE/,2014-09-30,2014-11-04,2015,Q1,0001193125-14-396069,31130000.0,3320285000.0,1934820000.0,21.92331645956397,0.5827270851749172,0.009375701182278028,-0.020769119832530502,0.052726459989053086
CACI,CACI INTERNATIONAL INC /DE/,2014-12-31,2015-01-30,2015,Q2,0001193125-15-027286,24642000.0,3300375000.0,1896098000.0,21.91730193532636,0.5745098663030717,0.007466424269969321,-0.005996473194319163,0.05336308640602243
CACI,CACI INTERNATIONAL INC /DE/,2015-03-31,2015-05-01,2015,Q3,0001193125-15-165704,29039000.0,3268325000.0,1840252000.0,21.90754345820383,0.5630566115670871,0.008884979308973251,-0.00971101768738401,-0.10270822825445777
CACI,CACI INTERNATIONAL INC /DE/,2015-09-30,2015-10-30,2016,Q1,0001564590-15-008961,33802000.0,3205062000.0,1696110000.0,21.88799727190573,0.5291972510984186,0.010546441847302798,-0.01935639815501824,-0.062360317614597836
CACI,CACI INTERNATIONAL INC /DE/,2015-12-31,2016-02-05,2016,Q2,0001564590-16-012385,30338000.0,3253285000.0,1708442000.0,21.902931092035566,0.5251436624826906,0.00932534346053297,0.01504588678783749,0.11661826455676247
CACI,CACI INTERNATIONAL INC /DE/,2016-03-31,2016-05-02,2016,Q3,0001564590-16-017313,34028000.0,3979418000.0,2407372000.0,22.10440141439416,0.6049558000692563,0.008550999166209732,0.22319993483509745,-0.04120681822513959
CACI,CACI INTERNATIONAL INC /DE/,2016-09-30,2016-10-28,2017,Q1,0001564590-16-026482,36663000.0,3912209000.0,2267088000.0,22.087368013049772,0.579490512904602,0.009371431843237413,-0.016889153137468846,0.23926234482019265
CACI,CACI INTERNATIONAL INC /DE/,2016-12-31,2017-02-03,2017,Q2,0001564590-17-000954,42420000.0,3897165000.0,2201206000.0,22.083515202668398,0.5648223772922112,0.010884835515047478,-0.003845397830228395,-0.1196677667734811
